Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,296.2656,-211.836,270,bottom
C2,4.7uF,C_0603_1608Metric,295.0464,-211.5312,270,bottom
C3,100nF,C_0402_1005Metric,304.0888,-209.8548,180,bottom
C4,100nF,C_0402_1005Metric,305.6128,-217.4748,90,bottom
C5,4.7nF,C_0603_1608Metric,116.7765,-107.442,0,bottom
C6,1uF,C_0603_1608Metric,299.0088,-220.7768,0,bottom
C7,4.7uF,C_0603_1608Metric,304.6476,-208.5848,180,bottom
C8,10nF,C_0402_1005Metric,299.5168,-219.456,0,bottom
C9,1uF,C_0402_1005Metric,116.459,-149.733,0,bottom
C10,1uF,C_0402_1005Metric,116.0145,-156.4005,0,bottom
D_0,D,D_SOD-123,132.35,-116.832,90,bottom
D_1,D,D_SOD-123,151.4,-116.832,90,bottom
D_2,D,D_SOD-123,170.45,-116.832,90,bottom
D_3,D,D_SOD-123,189.5,-116.832,90,bottom
D_4,D,D_SOD-123,208.55,-116.832,90,bottom
D_5,D,D_SOD-123,227.6,-116.832,90,bottom
D_6,D,D_SOD-123,246.65,-116.832,90,bottom
D_7,D,D_SOD-123,265.7,-116.832,90,bottom
D_8,D,D_SOD-123,284.75,-116.832,90,bottom
D_9,D,D_SOD-123,303.8,-116.832,90,bottom
D_10,D,D_SOD-123,322.85,-116.832,90,bottom
D_11,D,D_SOD-123,341.9,-116.832,90,bottom
D_12,D,D_SOD-123,360.95,-116.832,90,bottom
D_13,D,D_SOD-123,380,-116.832,90,bottom
D_14,D,D_SOD-123,399.05,-116.832,90,bottom
D_15,D,D_SOD-123,418.1,-116.832,90,bottom
D_16,D,D_SOD-123,437.15,-116.832,90,bottom
D_17,D,D_SOD-123,456.2,-116.832,90,bottom
D_18,D,D_SOD-123,475.25,-116.832,90,bottom
D_19,D,D_SOD-123,132.35,-135.882,90,bottom
D_20,D,D_SOD-123,151.4,-135.882,90,bottom
D_21,D,D_SOD-123,170.45,-135.882,90,bottom
D_22,D,D_SOD-123,189.5,-135.882,90,bottom
D_23,D,D_SOD-123,208.55,-135.882,90,bottom
D_24,D,D_SOD-123,227.6,-135.882,90,bottom
D_25,D,D_SOD-123,246.65,-135.882,90,bottom
D_26,D,D_SOD-123,265.7,-135.882,90,bottom
D_27,D,D_SOD-123,284.75,-135.882,90,bottom
D_28,D,D_SOD-123,303.8,-135.882,90,bottom
D_29,D,D_SOD-123,322.85,-135.882,90,bottom
D_30,D,D_SOD-123,341.9,-135.882,90,bottom
D_31,D,D_SOD-123,360.95,-135.882,90,bottom
D_32,D,D_SOD-123,399.288,-135.89,90,bottom
D_33,D,D_SOD-123,418.1,-135.882,90,bottom
D_34,D,D_SOD-123,437.15,-135.882,90,bottom
D_35,D,D_SOD-123,456.2,-135.882,90,bottom
D_36,D,D_SOD-123,475.25,-135.882,90,bottom
D_37,D,D_SOD-123,141.875,-154.932,90,bottom
D_38,D,D_SOD-123,160.925,-154.932,90,bottom
D_39,D,D_SOD-123,179.975,-154.932,90,bottom
D_40,D,D_SOD-123,199.025,-154.932,90,bottom
D_41,D,D_SOD-123,218.075,-154.932,90,bottom
D_42,D,D_SOD-123,237.125,-154.932,90,bottom
D_43,D,D_SOD-123,256.175,-154.932,90,bottom
D_44,D,D_SOD-123,275.225,-154.932,90,bottom
D_45,D,D_SOD-123,294.275,-154.932,90,bottom
D_46,D,D_SOD-123,313.325,-154.932,90,bottom
D_47,D,D_SOD-123,332.375,-154.932,90,bottom
D_48,D,D_SOD-123,351.425,-154.932,90,bottom
D_49,D,D_SOD-123,370.475,-154.932,90,bottom
D_50,D,D_SOD-123,394.49375,-154.78125,90,bottom
D_51,D,D_SOD-123,418.1,-154.932,90,bottom
D_52,D,D_SOD-123,437.15,-154.932,90,bottom
D_53,D,D_SOD-123,456.565,-160.401,90,bottom
D_54,D,D_SOD-123,474.98,-159.258,270,bottom
D_55,D,D_SOD-123,139.7,-173.83125,90,bottom
D_56,D,D_SOD-123,165.6875,-173.982,90,bottom
D_57,D,D_SOD-123,184.7375,-173.982,90,bottom
D_58,D,D_SOD-123,203.7875,-173.982,90,bottom
D_59,D,D_SOD-123,222.8375,-173.982,90,bottom
D_60,D,D_SOD-123,241.8875,-173.982,90,bottom
D_61,D,D_SOD-123,260.9375,-173.982,90,bottom
D_62,D,D_SOD-123,279.9875,-173.982,90,bottom
D_63,D,D_SOD-123,299.0375,-173.982,90,bottom
D_64,D,D_SOD-123,318.0875,-173.982,90,bottom
D_65,D,D_SOD-123,337.1375,-173.982,90,bottom
D_66,D,D_SOD-123,356.1875,-173.982,90,bottom
D_67,D,D_SOD-123,398.78,-173.863,90,bottom
D_68,D,D_SOD-123,418.1,-173.982,90,bottom
D_69,D,D_SOD-123,437.15,-173.982,90,bottom
D_70,D,D_SOD-123,456.565,-167.513,90,bottom
D_71,D,D_SOD-123,155.067,-192.532,90,bottom
D_72,D,D_SOD-123,175.2125,-193.032,90,bottom
D_73,D,D_SOD-123,194.2625,-193.032,90,bottom
D_74,D,D_SOD-123,213.3125,-193.032,90,bottom
D_75,D,D_SOD-123,232.3625,-193.032,90,bottom
D_76,D,D_SOD-123,251.4125,-193.032,90,bottom
D_77,D,D_SOD-123,270.4625,-193.032,90,bottom
D_78,D,D_SOD-123,289.5125,-193.032,90,bottom
D_79,D,D_SOD-123,308.5625,-193.032,90,bottom
D_80,D,D_SOD-123,327.6125,-193.032,90,bottom
D_81,D,D_SOD-123,346.6625,-193.032,90,bottom
D_82,D,D_SOD-123,373.0625,-193.032,90,bottom
D_83,D,D_SOD-123,399.05,-193.032,90,bottom
D_84,D,D_SOD-123,418.1,-193.032,90,bottom
D_85,D,D_SOD-123,437.15,-193.032,90,bottom
D_86,D,D_SOD-123,456.311,-197.993,90,bottom
D_87,D,D_SOD-123,474.345,-199.771,270,bottom
D_88,D,D_SOD-123,134.9375,-212.082,90,bottom
D_89,D,D_SOD-123,158.75,-211.93125,90,bottom
D_90,D,D_SOD-123,182.245,-212.09,90,bottom
D_91,D,D_SOD-123,226.822,-211.074,90,bottom
D_92,D,D_SOD-123,249.2375,-212.082,90,bottom
D_93,D,D_SOD-123,272.161,-199.898,270,bottom
D_94,D,D_SOD-123,327.6125,-212.082,90,bottom
D_95,D,D_SOD-123,349.25,-212.082,90,bottom
D_96,D,D_SOD-123,380,-212.082,90,bottom
D_97,D,D_SOD-123,399.05,-212.082,90,bottom
D_98,D,D_SOD-123,418.1,-212.082,90,bottom
D_99,D,D_SOD-123,437.15,-212.082,90,bottom
D_100,D,D_SOD-123,456.311,-206.121,90,bottom
F1,Polyfuse (1A),Fuse_0603_1608Metric,126.492,-107.823,180,bottom
R1,10k,R_0805_2012Metric,118.999,-162.814,270,bottom
R2,10k,R_0805_2012Metric,119.507,-181.483,270,bottom
R3,1M,R_0805_2012Metric,116.7765,-109.22,0,bottom
R4,5.1k,R_0805_2012Metric,131.064,-109.347,0,bottom
R5,5.1k,R_0805_2012Metric,137.033,-109.347,180,bottom
U1,STM32F072CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,300.9265,-214.503,90,bottom
U2,MCP1700-3302E_SOT23,SOT-23,116.0145,-152.43175,90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,134.14375,-98.552,0,bottom
